,0,val_loss
0,3.9000000000000004,"{'nlayers': 2, 'nodes_in_layer1': 7606, 'nodes_in_layer2': 5856, 'act_fn': 'sigmoid', 'learning_rate': 0.15601864128641788}"
1,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 466, 'act_fn': 'relu', 'learning_rate': 0.6011150121420937}"
2,4.5,"{'nlayers': 3, 'nodes_in_layer1': 166, 'nodes_in_layer2': 7759, 'nodes_in_layer3': 6660, 'act_fn': 'tanh', 'learning_rate': 0.18182496802527565}"
3,3.5999999999999996,"{'nlayers': 1, 'nodes_in_layer1': 2435, 'act_fn': 'sigmoid', 'learning_rate': 0.4319450192101708}"
4,3.8,"{'nlayers': 2, 'nodes_in_layer1': 4895, 'nodes_in_layer2': 1117, 'act_fn': 'tanh', 'learning_rate': 0.3663618439273299}"
5,3.9000000000000004,"{'nlayers': 2, 'nodes_in_layer1': 6282, 'nodes_in_layer2': 1598, 'act_fn': 'sigmoid', 'learning_rate': 0.5924145692696279}"
6,3.5,"{'nlayers': 1, 'nodes_in_layer1': 4861, 'act_fn': 'tanh', 'learning_rate': 0.06505159392022793}"
7,4.4,"{'nlayers': 4, 'nodes_in_layer1': 7725, 'nodes_in_layer2': 6467, 'nodes_in_layer3': 2438, 'nodes_in_layer4': 782, 'act_fn': 'relu', 'learning_rate': 0.44015249429944886}"
8,3.5,"{'nlayers': 1, 'nodes_in_layer1': 3962, 'act_fn': 'tanh', 'learning_rate': 0.9093204021694616}"
9,3.9000000000000004,"{'nlayers': 2, 'nodes_in_layer1': 5301, 'nodes_in_layer2': 2494, 'act_fn': 'sigmoid', 'learning_rate': 0.5467102797965694}"
10,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 7757, 'act_fn': 'relu', 'learning_rate': 0.9394989416246902}"
11,6.2,"{'nlayers': 4, 'nodes_in_layer1': 4784, 'nodes_in_layer2': 7375, 'nodes_in_layer3': 709, 'nodes_in_layer4': 1569, 'act_fn': 'tanh', 'learning_rate': 0.32533033143793405}"
12,3.9000000000000004,"{'nlayers': 2, 'nodes_in_layer1': 2172, 'nodes_in_layer2': 6630, 'act_fn': 'sigmoid', 'learning_rate': 0.2809345104064463}"
13,2.7,"{'nlayers': 3, 'nodes_in_layer1': 1128, 'nodes_in_layer2': 6418, 'nodes_in_layer3': 597, 'act_fn': 'relu', 'learning_rate': 0.7722447695244127}"
14,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 45, 'act_fn': 'relu', 'learning_rate': 0.7068573441407597}"
